source ,dst,type,pattern,reason
http://developer.symbian.org/oss/FCL/sf/app/organizer/,/sf/app/organizer,changeset,cbba965904c0,bug-3323
http://developer.symbian.org/oss/FCL/sf/mw/appinstall/,/sf/mw/appinstall,changeset,1fec4baee655,bug-2548
http://developer.symbian.org/oss/FCL/sf/mw/hapticsservices/,/sf/mw/hapticsservices,changeset,9c9c77f57686,bug-3311
http://developer.symbian.org/oss/FCL/sf/mw/imghandling/,/sf/mw/imghandling/,changeset,292fa3105576,bug-3676
http://developer.symbian.org/oss/FCL/sf/mw/securitysrv/,/sf/mw/securitysrv,changeset,a08e464d25ca,bug-3653
http://developer.symbian.org/oss/FCL/sf/mw/qtmobility/,/sf/mw/qtmobility,changeset,81ad59d81c0f,bug-3312
http://developer.symbian.org/oss/FCL/sf/mw/uiresources/,/sf/mw/uiresources,changeset,8823d3d6d399,bug-26 NVGRenderstage
http://developer.symbian.org/oss/FCL/sf/mw/web/,/sf/mw/web,changeset,a1c10d5ad3d9,bug-3326
http://developer.symbian.org/oss/FCL/sf/os/buildtools/,/sf/os/buildtools,changeset,f3b4a10db92c,bug-2049 etc...
http://developer.symbian.org/oss/FCL/sf/os/deviceplatformrelease/,/sf/os/deviceplatformrelease,changeset,e35300c6541d,config
http://developer.symbian.org/oss/FCL/sf/os/graphics/,/sf/os/graphics,changeset,3c2818e88c00,OpenVG bug-3283 bug-3343 bug-3344
http://developer.symbian.org/oss/FCL/sf/os/kernelhwsrv/,/sf/os/kernelhwsrv,changeset,a1a318fd91af,bug-2742 bug-2149 bug-3357 sbs_rom.pl
http://developer.symbian.org/oss/FCL/sf/os/textandloc/,/sf/os/textandloc,changeset,876d950bc52d,bug-1543
http://developer.symbian.org/oss/FCL/sf/os/usb/,/sf/os/usb,changeset,149feadf1a1f,bug-3648
